incidentid,age,gender,race,criminalhistory
19880903TXLID,Teen,Male,unknown,unknown
19880903TXLID,Teen,Male,unknown,unknown
19880903TXLID,Teen,Male,unknown,unknown
19880922ILMOC,Adult,Male,Black,Yes
19880926SCOAG,Young Adult,Male,White,unknown
19881003FLMAM,unknown,unknown,unknown,unknown
19881004FLJEJ,unknown,unknown,unknown,unknown
19881004LAISB,Adult,Female,unknown,unknown
19881005MDEDB,Adolescent,Male,unknown,unknown
19881006ALMOM,Adult,Female,unknown,unknown
19881007MDSOB,Adolescent,Male,unknown,unknown
19881007TXDIP,Child,Male,unknown,unknown
19881101FLPAJ,Adolescent,Male,unknown,unknown
19881107UTGLS,Adolescent,Male,unknown,unknown
19881122TXABA,Adolescent,Male,White,unknown
19881216VAATV,Adolescent,Male,Black,unknown
19890105ARHEL,Young Adult,Male,unknown,unknown
19890117CACLS,Young Adult,Male,White,Yes
19890126DCWOW,Adolescent,Male,unknown,unknown
19890126DCWOW,Young Adult,Male,unknown,unknown
19890210UTTHK,Child,Male,unknown,unknown
19890303INWIG,Adolescent,Male,unknown,unknown
19890426TXAMD,Young Adult,Male,unknown,unknown
19890911AZDYE,unknown,Male,unknown,unknown
19890918KYJAM,Adolescent,Male,unknown,unknown
19891005CALOA,Adolescent,Male,unknown,unknown
19891031TXOLD,Adolescent,Male,unknown,unknown
19891113NYALN,Adolescent,Male,unknown,unknown
19891115TXWOA,Adolescent,Male,unknown,unknown
19891122CACHO,Young Adult,Male,Hispanic,unknown
19891204LACAS,Teen,Male,unknown,unknown
19891205PASEM,Adolescent,Male,White,No
19891205TXWWD,Young Adult,Male,Hispanic,unknown
19891212SCCHC,Young Adult,Male,unknown,unknown
19900116RICEP,Adolescent,Male,Asian,unknown
19900220OHTAC,Adolescent,Male,unknown,unknown
19900327NYNEB,Teen,Male,White,unknown
19900403TXSKD,Young Adult,Male,unknown,unknown
19900504CAMOE,Adolescent,Male,Asian,unknown
19900520TNHIC,Adult,Male,unknown,unknown
19900531TXSUF,Adolescent,Male,White,unknown
19900824NCMYC,unknown,unknown,unknown,unknown
19900827NVELL,Adolescent,Male,unknown,unknown
19900827TXWHD,unknown,Male,unknown,unknown
19900911TXSAS,unknown,Male,Black,unknown
19900922ALLEB,unknown,Male,unknown,unknown
19901002TXWHD,Adult,Female,Hispanic,unknown
19901029INCHC,Young Adult,Male,White,No
19901030TXNAG,Adult,Female,Hispanic,unknown
19901213LASAS,unknown,unknown,unknown,unknown
19910108TXRIR,Adolescent,Male,White,unknown
19910117TXHOD,unknown,unknown,unknown,unknown
19910117TXHOD,unknown,unknown,unknown,unknown
19910219LABON,Young Adult,Male,Black,Yes
19910313ALSES,Adolescent,Male,unknown,unknown
19910314SCWOP,Young Adult,Male,Black,unknown
19910314SCWOP,unknown,Male,Black,unknown
19910325NCGAC,Young Adult,Male,unknown,unknown
19910411SCNOR,Young Adult,Male,White,unknown
19910423CARAC,Adolescent,Male,unknown,unknown
19910423CARAC,Adolescent,Male,unknown,unknown
19910423MSHUB,Adolescent,Male,unknown,unknown
19910510OHFRC,Adolescent,Male,unknown,unknown
19910516KSCOK,Adolescent,Male,unknown,unknown
19910521CAROS,Young Adult,Male,Hispanic,unknown
19910521FLSCP,Young Adult,Male,unknown,unknown
19910722CAWEL,unknown,Male,unknown,unknown
19910730CAENC,unknown,Male,unknown,unknown
19910913TXMAH,unknown,unknown,unknown,unknown
19910917ILWOC,Adolescent,Male,Black,unknown
19910918TXCRC,Adolescent,Female,Black,unknown
