incidentid,weapontype
20010117MDLAB,Handgun
20010202MIOSD,Unknown
20010302CAHOS,Unknown
20010305CASAS,Handgun
20010306MDLAL,Handgun
20010307PABIW,Handgun
20010307WAKEC,Handgun
20010322CAGRE,Unknown
20010330INLEG,Handgun
20010402TXKLH,Handgun
20010410WAWAM,Rifle
20010420LAMOM,Handgun
20010425OHJOC,Unknown
20010515TXENE,Handgun
20010607TXOUA,Handgun
20010730CABEL,Handgun
20010912KYLAC,Handgun
20010921MDLAB,Handgun
20011012UTTAT,Handgun
20011026CARER,Handgun
20011026MIBES,Handgun
20011112MICAC,Unknown
20011130TXFRF,Handgun
20020111MSRAJ,Unknown
20020115NYMAN,Handgun
20020124PAOLO,Rifle
20020201TXBRB,Handgun
20020206CAGAL,Handgun
20020207ILROC,Handgun
20020322CAJOC,Handgun
20020406MDLEB,Handgun
20020426LAABN,Handgun
20021004MTCMG,Handgun
20021004TXPAS,Handgun
20021007MDBEB,Rifle
20021029NJLIJ,Handgun
20021107MOSTL,Handgun
20021115CAAML,Unknown
20021115TXSCS,Shotgun
20021202MIOSD,Handgun
20021212WAWIC,Rifle
20021216ILENC,Handgun
20030121KYWEO,Handgun
20030130OKJEJ,Handgun
20030205CORAW,Handgun
20030318IACLG,Rifle
20030321MSNOM,Handgun
20030330CAROW,Handgun
20030401DCCAW,Handgun
20030414LAFAS,Handgun
20030414LAJON,Multiple Rifles
20030416TXGRA,Unknown
20030424PARER,Multiple Handguns
20030513PAFOJ,Unknown
20030910MSVIV,Handgun
20030917MACHB,Handgun
20030917MDOKE,Handgun
20030922WALES,Handgun
20030924MNROC,Handgun
20030925NCBUL,Handgun
20031001CARIS,Shotgun
20031007OHKEA,Handgun
20031029LAMAM,Handgun
20031030DCANW,Handgun
20031108TXHIS,Handgun
20031113NCEAC,Handgun
20031202ILFEC,Handgun
20031204OKDOO,Handgun
20031205ILCAC,Handgun
20031217MDOLM,Handgun
20031222NJCOW,Handgun
20031229FLABE,Unknown
20040115CAPOP,Handgun
20040121NVFAH,Handgun
20040202DCBAW,Handgun
20040203TXYOH,Handgun
20040206LAFAS,Handgun
20040209NYCOE,Shotgun
20040211PATMP,Unknown
20040213OHCOD,Handgun
20040220LAGAS,Handgun
20040305CASAL,Unknown
20040317WACRJ,Rifle
20040504TXKAH,Unknown
20040507MDRAR,Handgun
20040512CAEAM,Shotgun
20040524UTWES,Handgun
20040609CACAO,Unknown
20040803ALHUB,Handgun
20040824TNHAM,Handgun
20040830ILPRM,Handgun
20040912LABON,Handgun
20040915INWIG,Handgun
20041002NEJEG,Handgun
20041007MANEN,Shotgun
20041012CALAS,Handgun
20041015CABIB,Unknown
20041021MDTHB,Handgun
20041022CATYH,Unknown
20041115ALPAB,Handgun
20041115INBRG,Unknown
20041116SCBAB,Handgun
20041117FLAPA,Handgun
20041119FLTEJ,Handgun
20041209WALAS,Unknown
20041213LALAL,Handgun
20041231TXRIR,Handgun
20050105PAMUN,Handgun
20050126ILWOP,Handgun
20050204GAMCA,Handgun
20050208ILBOC,Unknown
20050302TNSTD,Handgun
20050309TNMAN,Handgun
20050310TXZAD,Handgun
20050314OHLEC,Handgun
20050316PACAP,Rifle
20050317CALOL,Handgun
20050317LAOPA,Handgun
20050321MNRER,Handgun
20050321MNRER,Shotgun
20050321NYNEB,Handgun
20050324TNFAM,Handgun
20050330TNEAM,Handgun
20050407TXCAC,Handgun
20050427LALER,Handgun
20050429OHDAC,Unknown
20050514TXBER,Handgun
20050517PAHIL,Handgun
20050520ILLOM,Other
20050524COACD,Other
20050524LABOS,Handgun
20050608NYARP,Other
20050612NJBAA,Handgun
20050718NJWEN,Handgun
20050816VICOE,Unknown
20050817CAPLB,Handgun
20050819GAMOM,Handgun
20050825TNMAD,Handgun
20050901AKDIA,Handgun
20050902FLSOJ,Handgun
20050913ILHAC,Handgun
20050924MISAS,Unknown
20051011MIFAF,Shotgun
20051014NYSAN,Handgun
20051019CASAS,Unknown
20051020MISAS,Handgun
20051027CABIF,Unknown
20051028MDANA,Handgun
20051028NYFAF,Handgun
20051108TNCAJ,Handgun
20051115FLPAM,Handgun
20051116TXIRS,Handgun
20051205MABOR,Handgun
20051206CASAG,Handgun
20051206MICED,Handgun
20060103NJLIJ,Handgun
20060110DEMOW,Handgun
20060111WIMAM,Unknown
20060113ALPIP,Handgun
20060113FLMIL,Rifle
20060113MIOSD,Handgun
20060118MTFRA,Other
20060118TXPAA,Handgun
20060118VAINC,Handgun
20060119OHWIC,Unknown
20060123CAWIV,Handgun
20060127TXLAG,Handgun
20060130MTCMG,Handgun
20060203CALOC,Handgun
20060209DEWIN,Handgun
20060215PAWEY,Handgun
20060221PAWEP,Rifle
20060223ORROR,Handgun
20060310NYISN,Other
20060314NVPIR,Handgun
20060405DCROW,Unknown
20060418TXWEH,Handgun
20060424NCEAC,Shotgun
20060505FLPAM,Handgun
20060522SCBUI,Handgun
20060525PANON,Rifle
20060605CAVEL,Handgun
20060606INWIG,Handgun
20060615MIPED,Handgun
20060731FLYOT,Handgun
20060815KYJTV,Handgun
20060817TXMEA,Handgun
20060819OHSOY,Handgun
20060820GALYH,Handgun
20060821INCAN,Handgun
20060824VTESE,Handgun
20060829DCANW,Handgun
20060830NCORH,Unknown
20060831ALOXO,Handgun
20060905TNKIM,Handgun
20060908TXSOF,Handgun
20060913MOWEC,Handgun
20060921DCCAW,Handgun
20060927COPLB,Multiple Handguns
20060929WIWEC,Unknown
20061002PAWEN,Unknown
20061009MOMEJ,Rifle
20061010NYPOP,Other
20061012MDGRB,Handgun
20061017TXSEK,Unknown
20061031TNHAK,Handgun
20061111CALIO,Handgun
20061122GASAA,Handgun
20061201NCJOT,Handgun
20061207NENOO,Handgun
20061211ILCLC,Handgun
20061212PASPS,Rifle
20061213PABAB,Other
20061214PAMCC,Rifle
20070102NCWEF,Handgun
20070103WAHET,Handgun
20070104MINOD,Unknown
20070108OHROC,Multiple Handguns
20070109CAGRV,Unknown
20070109NVWEL,Handgun
20070118PAWIP,Handgun
20070124TNHAS,Handgun
20070131ILHIC,Handgun
20070207FLPAJ,Handgun
20070208ORCRP,Handgun
20070208TXSTP,Other
20070226CASLA,Other
20070227GACLA,Other
20070307CACEC,Handgun
20070307MIHEM,Handgun
20070307TXGRG,Unknown
20070308TNEAC,Handgun
20070323FLUNO,Other
20070327CTSAH,Handgun
20070329SCMYM,Handgun
20070410ILCHC,Handgun
20070410ORSPG,Rifle
20070418NCNOH,Handgun
20070503OHGED,Other
20070504TXTIE,Handgun
20070510MIHED,Unknown
20070512TXWEM,Shotgun
20070515TXLIL,Handgun
20070523RIOAC,Other
20070530NCVAG,Other
20070531NCNOG,Other
20070617SCBRB,Handgun
20070628TXDAD,Handgun
20070709ILCAC,Unknown
20070804NJMON,Handgun
20070928CALAO,Handgun
20070930AZSSP,Unknown
20071001CTPLM,Other
20071010OHSUC,Multiple Handguns
20071024TNMAM,Handgun
20071105LAJOR,Handgun
20071126NYHOH,Handgun
20071221CABAU,Unknown
20080204TNHAM,Handgun
20080211TNMIM,Handgun
20080214CAEOO,Handgun
20080306ALDAM,Handgun
20080416CAROF,Handgun
20080516LAMAT,Unknown
20080811WAWAK,Handgun
20080814WALAF,Handgun
20080821TNCEK,Handgun
20080902OHSOW,Handgun
20080915CAMIS,Handgun
20080919CAGEA,Unknown
20081016MIHED,Unknown
20081020CAVAA,Handgun
20081023ALPRP,Handgun
20081029CAELG,Other
20081031MESTS,Unknown
20081103CABEB,Handgun
20081103CAELO,Other
20081112FLDIF,Handgun
20081115COTHL,Handgun
20081115UTDES,Handgun
20081118CACEC,Handgun
20081118CACOO,Handgun
20081125TXNOH,Unknown
20081130CAOAG,Handgun
20081202CAKIK,Handgun
20081205MNSHF,Handgun
20081212NCGUA,Handgun
20081212NYWIM,Handgun
20081221SCSUS,Handgun
20081222FLLAL,Handgun
20081227PAWIP,Unknown
20081231GASHS,Shotgun
20081231OKKEN,Unknown
20090108DEWIN,Handgun
20090109ILDUC,Handgun
20090114ILPEC,Unknown
20090120ILCOC,Handgun
20090120MIBEM,Multiple Handguns
20090120PAEAE,Handgun
20090123ILCAC,Handgun
20090127NCCLC,Handgun
20090210CABAE,Handgun
