Incident_ID,Year,Quarter,School,City,State,Targets,Bullied,Domestic_Violence,Gang_Related,Preplanned
19840517IASOP,1984,Spring,Southeast Polk High School,Pleasant Hill,IA,Victims Targeted,0,0,0,
19840515MTCMG,1984,Spring,C M Russell High School,Great Falls,MT,Victims Targeted,0,0,0,0
19840426NCROW,1984,Spring,Rose Hill Magnolia Elementary School,Wallace,NC,Victims Targeted,0,0,0,0
19840420MIPRD,1984,Spring,Precious Blood School,Detroit,MI,Random Shooting,0,0,0,0
19840405LACLC,1984,Spring,Clinton High School,Clinton,LA,Victims Targeted,,0,0,0
19840224CA49L,1984,Winter,49th Street Elementary School,Los Angeles,CA,Random Shooting,0,0,0,1
19840221TXSHH,1984,Winter,Sharpstown High School,Houston,TX,Victims Targeted,0,0,0,0
19840206KYCEL,1984,Winter,Central High School,Louisville,KY,Victims Targeted,0,0,0,0
19840105MDLAB,1984,Winter,Lake Clifton Senior HIgh School,Baltimore,MD,Victims Targeted,0,0,0,0
19831216ILBOR,1983,Winter,Boylan Central Catholic High School,Rockford,IL,Victims Targeted,0,0,0,1
19831202INCRC,1983,Winter,Crawfordsville High School,Crawfordsville,IN,Victims Targeted,0,0,0,0
19831118MDHAB,1983,Fall,Harlem Park Junior High School,Baltimore,MD,Victims Targeted,0,0,0,0
19831117ILJAC,1983,Fall,James G. Blaine Elementary School,Chicago,IL,Victims Targeted,0,0,1,0
19831108MIHIH,1983,Fall,Highland Park High School,Highland Park,MI,Victims Targeted,,0,0,0
19831022MDCAB,1983,Fall,Carver Vocational-Technical Senior High,Baltimore,MD,Victims Targeted,0,0,0,0
19831007CACOL,1983,Fall,Compton High School,Los Angeles,CA,Random Shooting,0,0,1,0
19830930TXTET,1983,Fall,Temple High School,Temple,TX,Victims Targeted,0,0,0,0
19830921MDWAB,1983,Fall,Walbrook High School,Baltimore,MD,Random Shooting,0,0,0,0
19830912MIHED,1983,Fall,Henry Ford High School,Detroit,MI,Victims Targeted,0,0,0,0
19830912CAMAC,1983,Fall,Manuel Dominguez High School,Compton,CA,Both,0,0,1,0
19830526PAGRJ,1983,Spring,Greater Johnstown High School,Johnstown,PA,Neither,0,0,0,0
19830523OHMAM,1983,Spring,Mansfield Senior High School,Mansfield,OH,Victims Targeted,0,0,0,0
19830518FLNOM,1983,Spring,North Miami Senior High School,Miami,FL,Victims Targeted,0,0,0,0
19830516TXLAD,1983,Spring,Lake Highland High School,Dallas,TX,Neither,0,0,0,0
19830516NYBRN,1983,Spring,Brentwood High School,New York,NY,Both,0,0,0,1
19830421MOBES,1983,Spring,Beaumont High School,St. Louis,MO,Random Shooting,0,0,0,0
19830331ILSAC,1983,Spring,Santa Maria InCornata-Santa Lucia School,Chicago,IL,Victims Targeted,0,0,0,0
19830202NMALA,1983,Winter,Albuquerque High School,Alburquerque,NM,null,0,0,unknown,
19830201TNRIM,1983,Winter,Riverdale High School,Murfreesboro,TN,Random Shooting,0,0,0,0
19830131FLDED,1983,Winter,DeLand High School,DeLand,FL,Victims Targeted,0,0,0,0
19830130TXWEC,1983,Winter,West Ward School,Coleman,TX,Victims Targeted,0,0,0,
19830128MDWIB,1983,Winter,William H. Lemmel Middle School,Baltimore,MD,Random Shooting,0,0,0,0
19830120MOPAB,1983,Winter,Parkway South Middle School,Baldwin,MO,Victims Targeted,1,0,0,0
19830118TXJOH,1983,Winter,John H. Reagan High School,Houston,TX,Victims Targeted,0,1,0,0
19821220MIFID,1982,Winter,Finney High School,Detroit,MI,Victims Targeted,0,0,0,0
19821206ALHUH,1982,Winter,Huntsville High School,Huntsville,AL,Victims Targeted,0,0,0,0
19821112MSWIJ,1982,Fall,Wingfield High School,Jackson,MS,Victims Targeted,0,1,0,0
